Infra.Class,Order,Family,Common.name,Species,Synonym.,X2n
NEOGNATHAE,SULIFORMES,Phalacrocoracidae,"Cormorants, Shags",Leucocarbo bransfieldensis,Phalacrocorax bransfieldensis,72
NEOGNATHAE,SULIFORMES,Phalacrocoracidae,"Cormorants, Shags",Microcarbo niger,Phalacrocorax niger,86
NEOGNATHAE,SULIFORMES,Phalacrocoracidae,"Cormorants, Shags",Microcarbo pygmaeus,Phalacrocorax niger,70
NEOGNATHAE,SULIFORMES,Phalacrocoracidae,"Cormorants, Shags",Phalacrocorax carbo,Phalacrocorax niger,62
NEOGNATHAE,SULIFORMES,Sulidae,"Gannets, Boobies",Morus bassanus,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Accipiter badius,Phalacrocorax niger,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Accipiter gentilis,Phalacrocorax niger,78
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Accipiter nisus,Phalacrocorax niger,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Accipiter novaehollandiae,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Accipiter virgatus,Phalacrocorax niger,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Aegypius monachus,Phalacrocorax niger,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Alquila chrysaetos,Phalacrocorax niger,62
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Alquila heliaca,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Aquila adalberti,Phalacrocorax niger,82
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Aquila audax,Phalacrocorax niger,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Aquila rapax,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Butastur teesa,Phalacrocorax niger,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Buteo buteo,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Buteo jamaicensis,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Buteo lagopus,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Buteo nitidus,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Buteo platypterus,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Buteo regalis,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Buteo swainsoni,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Buteogallus meridionalis,Phalacrocorax niger,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Circaetus gallicus,Phalacrocorax niger,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Circus aeruginosus,Phalacrocorax niger,72
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Circus cyaneus,Phalacrocorax niger,72
